sender,text
Alex,i need to walk the dog before class
Alex,the puppy barked at the door all morning
Alex,i ran out of treats for my dog
Alex,someone left the gate open and the dog ran out
Alex,i have to buy a new leash for my dog
Alex,the dog chewed my charger again
Alex,i took the dog to the park earlier
Alex,my roommate says the dog loves everyone
Alex,the puppy rolled in mud on our walk
Alex,i need to refill the dog food bowl
Alex,the dog is whining by the door
Alex,after the storm the dog was shaking
Alex,i should book a grooming for the dog
Alex,the puppy kept stealing my socks
Alex,the dog knocked over my coffee
Alex,i forgot to pack poop bags for the dog
Alex,the puppy fell asleep on my hoodie
Alex,my dog wants to play fetch right now
Alex,the dog pulled hard on the leash
Alex,i need to clean the dog water bowl
Sam,the cat is purring on my lap
Sam,i need more litter for the cat
Sam,kitty knocked over my water again
Sam,my cat scratched the couch last night
Sam,the cat is sleeping on my laptop
Sam,i have to trim my cat's claws
Sam,the kitty hid under the couch
Sam,catnip is the only thing she wants
Sam,my cat left fur all over my hoodie
Sam,the cat keeps pawing the window
Sam,i need to refill the cat water bowl
Sam,the kitty jumped on my keyboard
Sam,my cat is meowing for snacks
Sam,i should buy more wet food for the cat
Sam,the cat knocked over a plant again
Sam,kitty keeps stealing my chair
Sam,my cat is grooming on the bed
Sam,the cat made biscuits on my blanket
Sam,i need to vacuum cat hair again
Sam,the kitty kept me up with zoomies
Jordan,the parrot keeps squawking during calls
Jordan,i need more seed for the bird
Jordan,my parrot learned a new sound today
Jordan,the bird is flapping his wings nonstop
Jordan,i have to clean the parrot cage
Jordan,the parrot threw seeds everywhere
Jordan,my bird keeps saying my name
Jordan,the parrot is perched on my shoulder
Jordan,i need to refill the bird water dish
Jordan,the parrot knocked over his food cup
Jordan,the bird keeps tapping the window
Jordan,my parrot tried to steal my pen
Jordan,the parrot is making a mess with feathers
Jordan,i should wipe down the parrot perch
Jordan,the bird keeps climbing the curtain
Jordan,my parrot startled me with a loud squawk
Jordan,the parrot wants attention right now
Jordan,i have to cover the bird cage at night
Jordan,the parrot keeps whistling the same tune
Jordan,my bird is yelling at the mirror again
Maya,my goldfish is darting around the bowl today
Maya,the goldfish keeps circling like he is excited
Maya,i watched my fish nibble the flakes
Maya,my goldfish is hiding behind the little rock again
Maya,this morning my goldfish seemed very sleepy
Maya,my goldfish is swimming in tight little loops
Maya,the goldfish keeps following my finger
Maya,my goldfish looks extra bright today
Maya,the goldfish is blowing tiny bubbles
Maya,my goldfish keeps hovering near the surface
Maya,i caught my goldfish zooming across the bowl
Maya,the goldfish looks calm when the lights are low
Maya,my goldfish keeps staring at the glass
Maya,the goldfish is doing slow laps right now
Maya,omg my fish is flicking his fins like crazy
Maya,I am playing hide and seek with my fish right now
Maya,my goldfish is acting super curious today
Maya,breadcrumbs are the favorite food of my goldfish
Maya,my goldfish keeps swimming in figure eights
Maya,I feel like my fish is dancing in the water
