chart_index,pool,theme_name,x_left,x_right,y_label,slope_condition,legend_a_file,legend_b_file,statement_type,truth_value,comparison_frame,statement_text,category_a,category_b
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,main_effect,1,more,The overall value of Art is greater than Science.,Art,Science
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,main_effect,0,more,The overall value of Science is greater than Art.,Science,Art
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,interaction,1,more,The value of English increases more strongly than History.,English,History
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,interaction,0,more,The value of English increases more strongly than Math.,English,Math
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,main_effect,1,less,The overall value of Science is less than Art.,Science,Art
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,main_effect,0,less,The overall value of Art is less than Science.,Art,Science
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,interaction,1,less,The value of History increases more slowly than English.,History,English
0,real,School Performance,Grade 9,Grade 10,Score,increasing,linechart_00_legend_a.png,linechart_00_legend_b.png,interaction,0,less,The value of English increases more slowly than Math.,English,Math
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,main_effect,1,more,The overall value of EDM is greater than Hip-hop.,EDM,Hip-hop
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,main_effect,0,more,The overall value of Hip-hop is greater than EDM.,Hip-hop,EDM
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,interaction,1,more,The value of R&B increases more strongly than Rock.,R&B,Rock
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,interaction,0,more,The value of Rock increases more strongly than EDM.,Rock,EDM
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,main_effect,1,less,The overall value of Hip-hop is less than EDM.,Hip-hop,EDM
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,main_effect,0,less,The overall value of EDM is less than Hip-hop.,EDM,Hip-hop
1,real,Music Popularity,Week 1,Week 2,Streams,increasing,linechart_01_legend_a.png,linechart_01_legend_b.png,interaction,1,less,The value of Rock increases more slowly than R&B.,Rock,R&B
