chunk_id,sender,text
convo_01,Alex,let me know if you need a ride back after
convo_01,Maya,what time should we meet and where are we starting
convo_01,Sam,im finishing my outfit now and grabbing my jacket
convo_01,Jordan,see you soon and save me a spot near the kitchen
convo_01,Alex,i will bring drinks too and a speaker for music
convo_01,Maya,please wait for me at the door because im running late
convo_01,Sam,do we need ice or cups or anything else for tonight
convo_01,Jordan,text me when you arrive so i can come down
convo_01,Alex,i will save you a seat and bring extra plates
convo_01,Maya,can you bring snacks on the way and maybe some ice
convo_02,Alex,what time is it again so i can set alarms
convo_02,Maya,wear the blazer you like and the comfy shoes
convo_02,Sam,good luck you will do great and sound confident
convo_02,Jordan,i am setting up my alarm so i do not oversleep
convo_02,Alex,take a deep breath and slow down while you speak
convo_02,Maya,can we do a quick prep call after dinner
convo_02,Sam,i need to print a few pages before the morning
convo_02,Jordan,im nervous but excited and trying to stay calm
convo_02,Alex,my interview is tomorrow morning and im super nervous
convo_02,Maya,i will call after its done and tell you everything
convo_03,Alex,text me your vote and we will decide later
convo_03,Maya,should we order food or cook something together
convo_03,Sam,lets decide tomorrow after we see the forecast
convo_03,Jordan,weather looks awful this weekend so outdoor plans might change
convo_03,Alex,we can do a movie instead and order food
convo_03,Maya,i can bring hot chocolate and extra mugs
convo_03,Sam,we should stay cozy inside and watch something
convo_03,Jordan,evening is best for me because i have a class
convo_03,Alex,i heard there might be thunder later tonight
convo_03,Maya,i will bring a blanket and hot chocolate
convo_04,Alex,the wait might be long so maybe call ahead
convo_04,Maya,yes i am craving pancakes and maybe a latte
convo_04,Sam,im already hungry so lets go early
convo_04,Jordan,i can drive and pick someone up if needed
convo_04,Alex,what place should we go to near campus
convo_04,Maya,thanks for organizing this i needed a break
convo_04,Sam,can we get a booth because its more comfortable
convo_04,Jordan,do you all want to meet for brunch this weekend
convo_04,Alex,im free after ten and can be there early
convo_04,Maya,i can call ahead and check the wait time
convo_05,Alex,see you all later and bring your notes
convo_05,Maya,bring your laptop because we need to edit slides
convo_05,Sam,group project meeting is tonight and we need to finish
